epoch,accuracy,loss,val_accuracy,val_loss
0,0.5329916477203369,1.260002613067627,0.5912224054336548,1.1581372022628784
1,0.6448036432266235,0.989928126335144,0.6631433963775635,0.9149333834648132
2,0.6766372919082642,0.9051598310470581,0.6204044222831726,1.0847615003585815
3,0.6971862316131592,0.8518134355545044,0.6576286554336548,0.9479284882545471
4,0.7109348177909851,0.8125380277633667,0.6139705777168274,1.1171176433563232
5,0.7231557965278625,0.7793475985527039,0.6677389740943909,0.9311165809631348
6,0.7346868515014648,0.7523216605186462,0.6787683963775635,0.916711688041687
7,0.7442960739135742,0.7291637659072876,0.6792279481887817,0.9547438621520996
8,0.752821147441864,0.7114722728729248,0.724494457244873,0.7984680533409119
9,0.7638594508171082,0.6732460260391235,0.7081801295280457,0.8505375385284424
10,0.7752919793128967,0.6524263024330139,0.693244457244873,0.9352211952209473
11,0.7779037356376648,0.6360414028167725,0.6900275945663452,0.9724896550178528
12,0.7725324034690857,0.6636484861373901,0.6955422759056091,0.929511308670044
13,0.7891390919685364,0.614340603351593,0.7061121463775635,0.8889219164848328
14,0.8019514083862305,0.5790992975234985,0.6987591981887817,0.9344196915626526
15,0.812398374080658,0.547925591468811,0.7084099054336548,0.957934558391571
16,0.8137288689613342,0.5374423265457153,0.7113970518112183,0.8783701658248901
17,0.8222540020942688,0.5180408358573914,0.6787683963775635,1.1298829317092896
18,0.8278716802597046,0.5049995183944702,0.6957720518112183,0.9525381922721863
19,0.8380722403526306,0.4810064435005188,0.6918658018112183,0.9914230108261108
20,0.8423101305961609,0.4644984304904938,0.6909466981887817,1.0731757879257202
21,0.8479278683662415,0.452972412109375,0.701286792755127,1.0317434072494507
22,0.8585719466209412,0.42540833353996277,0.6955422759056091,1.0959863662719727
23,0.8602473735809326,0.41469311714172363,0.6943933963775635,1.0545058250427246
24,0.8656187057495117,0.40614455938339233,0.6999080777168274,1.045140027999878
25,0.8703986406326294,0.39312267303466797,0.7047334313392639,1.0170331001281738
26,0.8816340565681458,0.3663606345653534,0.6930146813392639,1.2441672086715698
27,0.8800078630447388,0.364326536655426,0.689338207244873,1.0996289253234863
28,0.8849849700927734,0.3501116931438446,0.7017463445663452,1.1855331659317017
29,0.8913418650627136,0.33297985792160034,0.6615349054336548,1.2423712015151978
30,0.9002611637115479,0.3156496584415436,0.6794577240943909,1.3016167879104614
31,0.8980436325073242,0.31554102897644043,0.7017463445663452,1.2180538177490234
32,0.9075050354003906,0.28799349069595337,0.6803768277168274,1.235663652420044
33,0.9104124307632446,0.2829093933105469,0.6888786554336548,1.2555010318756104
34,0.9151431322097778,0.26268795132637024,0.689338207244873,1.2435708045959473
35,0.9109052419662476,0.2828839421272278,0.6985294222831726,1.2326093912124634
36,0.9199724197387695,0.25311213731765747,0.6925551295280457,1.318645715713501
37,0.9259843230247498,0.23809215426445007,0.6868106722831726,1.4025074243545532
38,0.9213029146194458,0.2479172796010971,0.6943933963775635,1.2798932790756226
39,0.9251958727836609,0.24198217689990997,0.7100183963775635,1.1950383186340332
40,0.934755802154541,0.2192714363336563,0.6969209313392639,1.2640504837036133
41,0.9361355900764465,0.2052987962961197,0.6868106722831726,1.3864805698394775
42,0.9324890375137329,0.21425876021385193,0.7038143277168274,1.427781105041504
43,0.9405213594436646,0.19814355671405792,0.7063419222831726,1.39085054397583
44,0.9448085427284241,0.18784122169017792,0.7028952240943909,1.2912570238113403
45,0.9458433985710144,0.17674505710601807,0.7045036554336548,1.3952453136444092
46,0.943970799446106,0.1869921237230301,0.6902573704719543,1.2764108180999756
47,0.9426895976066589,0.18950890004634857,0.697380542755127,1.3761208057403564
48,0.9495392441749573,0.1700587421655655,0.7054228186607361,1.3516136407852173
49,0.9526437520980835,0.15892533957958221,0.7081801295280457,1.3874765634536743
